	static-1	static-4096	dynamic-1	dynamic-4096	
1	235.738	228.092	231.705	227.729	
2	467.423	407.545	431.02	403.099	
4	889.276	629.493	877.101	632.185	
6	1356.76	765.212	1296.18	759.97	
8	1756.48	945.869	1744.8	818.651	
10	1857.68	934.473	2134.9	873.603	
12	2051.79	952.918	2402.18	805.347	
14	2294.57	947.647	2751.34	846.411	
16	1983.67	933.774	2908.63	801.974	
18	2060.62	899.379	2807.85	851.661	
20	2117.26	942.318	3340.26	927.282	
22	1931.79	930.517	3264.7	826.718	
24	2557.04	905.071	3437.74	932.352	
