08:03:28 up 8 days, 14:06, 30 users, load average: 0.03, 0.12, 1.71
flip3.engr.oregonstate.edu


	FIX_1 - NUMT_1	FIX_2 - NUMT_1	FIX_1 - NUMT_2	FIX_2 - NUMT_2	FIX_1 - NUMT_4	FIX_2 - NUMT_4	
0	  147.85	  158.06	  100.11	  308.09	  129.56	  620.05	
1	  151.27	  159.03	  114.99	  308.12	  126.44	  420.47	
2	  135.22	  151.31	  162.67	  213.57	  130.92	  443.84	
3	  158.81	  155.03	  102.90	  311.97	  153.19	  408.29	
4	  141.62	  159.03	  167.49	  310.95	  148.72	  406.42	
5	  132.95	  150.40	  171.10	  310.03	  182.78	  605.09	
6	  129.32	  151.72	  161.90	  226.45	  147.59	  397.54	
7	  158.14	  159.03	  230.92	  220.72	  190.86	  447.67	
8	  141.62	  157.09	  220.70	  226.35	  215.61	  612.94	
9	  141.25	  153.67	  280.83	  262.36	  212.53	  407.04	
10	  131.53	  158.06	  265.86	  269.31	  175.74	  470.58	
11	  135.57	  159.03	  274.04	  235.48	  380.64	  411.22	
12	  131.11	  159.03	  197.41	  311.20	  371.33	  432.43	
13	  134.57	  150.51	  276.90	  209.58	  523.96	  625.13	
14	  136.57	  158.06	  253.90	  304.40	  418.44	  510.50	
15	  159.32	  159.03	  317.45	  310.03	  620.91	  553.98	
